AIM/CGE 2.0,model,scenario,unit,,,,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1800f,USD2010/TCO2.Capita,,,,0,0,0,4601.972556,4981.972588,5247.124406,5448.825673,5627.269794,5797.508119,6362.515494,7678.519217,10186.32509,12196.54623,14651.92523,16391.96019,18172.92849,18466.07092,18255.04884,18135.79507
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-300f,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,19065.2515,23653.07302,18001.94835,15615.01765,18277.4215,21718.46505,26867.71109,33881.31315,40641.48174,41230.09949,39655.58696,38246.35058,37381.27621,36615.99253,35917.678
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-400f,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,18468.03166,19488.32857,13647.11444,12111.26074,15503.88247,19183.00586,23056.35411,28240.20084,35700.15546,41336.2081,39866.7176,37748.90277,36641.18947,35989.57984,35326.95936
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-500f,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,16957.91106,15772.28171,11062.88443,10590.70287,14413.91088,18195.40685,20847.13461,25561.64878,31042.39982,39030.35984,42008.17028,38799.59597,37023.29794,36153.16959,35457.47525
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-600,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,19065.2515,26121.54499,24447.88664,21065.7593,22065.77479,20506.44785,19901.67321,19767.88392,19707.752,19725.2478,19791.0227,19879.80771,19987.89125,20110.81332,20224.43922
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-600f,USD2010/TCO2.Capita,,,,0,0,0,9305.121017,15235.33006,12319.13186,9577.793417,9441.618738,12434.87341,18423.08043,19970.11403,22699.38972,27406.11928,34559.9575,41283.87015,40731.19216,38082.91971,36736.36056,35946.3808
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-700,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,19065.2515,22302.77285,16563.71533,14069.43778,17195.41735,20703.60881,20300.08744,20044.95577,19914.14025,19877.31522,19891.24361,19952.84986,20032.5245,20140.9795,20238.55116
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-700f,USD2010/TCO2.Capita,,,,0,0,0,8997.118818,13531.86664,10090.14243,8461.160617,8699.602099,10832.64566,16768.35087,19455.23107,20876.99857,25115.9333,30471.75631,38982.26668,43153.17276,39484.48001,37438.17223,36445.99003
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-800,USD2010/TCO2.Capita,,,,0,0,0,9357.377528,17595.14781,17168.81641,11725.32466,11086.33364,14931.09772,17846.85386,21128.80312,20516.04366,20225.60291,20083.89639,20041.62299,20065.58463,20118.30506,20172.77214,20217.4111
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-800f,USD2010/TCO2.Capita,,,,0,0,0,8566.08072,12018.39925,9169.018088,8109.935441,8285.165416,9959.786753,13932.50352,18302.91303,19564.91639,22846.45712,27363.81527,34974.72081,42415.92436,41522.87328,38571.29993,37067.09332
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-900,USD2010/TCO2.Capita,,,,0,0,0,9305.121017,15235.33006,12319.13186,9577.793417,9441.618738,12434.87341,18423.08043,19970.11403,21097.40241,20556.87495,20323.04144,20217.40162,20227.80615,20266.68078,20308.99802,20317.19706
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-900f,USD2010/TCO2.Capita,,,,0,0,0,8005.769939,10659.57001,7908.14509,7536.608158,7739.60145,9223.016469,12107.92396,17038.05757,18710.79184,20810.51967,24987.93555,30445.41813,38628.50489,42808.53915,39148.76537,37143.45593
AIM/CGE V2.2,COFFEE 1.1,COMMIT-2°C-2020,USD2010/TCO2.Capita,,,,0,0,0,2918.981944,7037.548379,13976.50357,23507.11461,28796.77426,33503.43378,0,46055.01868,0,58417.94113,0,71479.69107,0,85586.17153,0,100864.702
AIM/CGE V2.2,COFFEE 1.1,COMMIT-2°C-2030,USD2010/TCO2.Capita,,,,0,0,0,0,0,2676.405234,12031.37141,24337.78677,36104.17159,0,57071.99629,0,78533.68197,0,100917.624,0,124856.3339,0,150636.3412
AIM/CGE V2.2,COFFEE 1.1,COMMIT-Baseline,USD2010/TCO2.Capita,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM/CGE V2.2,COFFEE 1.1,COMMIT-Bridge,USD2010/TCO2.Capita,,,,0,0,394.4590912,1646.876709,2895.015902,4127.741839,11775.67585,24178.57334,36574.50949,0,56446.71268,0,75628.27527,0,97124.40481,0,119282.4591,0,141194.7009
AIM/CGE V2.2,COFFEE 1.1,COMMIT-Current-Policies,USD2010/TCO2.Capita,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM/CGE V2.2,COFFEE 1.1,COMMIT-GPP,USD2010/TCO2.Capita,,,,0,0,394.4590912,1646.876709,2895.015902,4002.072497,5014.443068,6005.984693,6994.142481,0,9000.791132,0,11075.81549,0,13295.88593,0,15708.62002,0,18345.69668
AIM/CGE V2.2,COFFEE 1.1,COMMIT-NDCplus,USD2010/TCO2.Capita,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1000,USD2010/TCO2.Capita,,,,0,0,0,0,0,802.3692054,1350.058321,1619.045258,2884.177355,0,5225.514132,0,8204.158944,0,12265.43453,0,16271.77285,0,19258.41626
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1000-NDCp,USD2010/TCO2.Capita,,,,0,0,0,0,0,802.3692054,1350.058321,1619.045258,2884.177355,0,5225.514132,0,8204.158944,0,12265.43453,0,16271.77285,0,19258.41626
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1000f,USD2010/TCO2.Capita,,,,0,0,0,0,0,212.5173477,348.4245874,457.3929192,671.5700576,0,1863.41834,0,4547.792337,0,12261.26257,0,23795.89402,0,29710.13145
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1000f-NDCp,USD2010/TCO2.Capita,,,,0,0,0,0,0,212.5173477,348.4245874,457.3929192,671.5700576,0,1863.41834,0,4547.792337,0,12261.26257,0,23795.89402,0,29710.13145
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1200,USD2010/TCO2.Capita,,,,0,0,0,0,0.075985953,647.3779528,1087.853918,1319.218823,2348.866182,0,4408.912694,0,6923.133397,0,10329.32766,0,14092.10406,0,16536.46667
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1200f,USD2010/TCO2.Capita,,,,0,0,0,0,0,170.0181807,278.7520032,367.3459309,553.1708205,0,1550.699398,0,3788.718015,0,10158.28518,0,20163.04481,0,25643.69477
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1400,USD2010/TCO2.Capita,,,,0,0,0,0,0.151971906,492.3867002,825.6495149,1019.392388,1813.55501,0,3592.311256,0,5642.10785,0,8393.220802,0,11912.43527,0,13814.51708
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1400f,USD2010/TCO2.Capita,,,,0,0,0,0,0,127.5190138,209.079419,277.2989427,434.7715833,0,1237.980456,0,3029.643693,0,8055.307783,0,16530.1956,0,21577.2581
AIM/CGE V2.2,COFFEE 1.1,ENGAGE-INDCi2030-1600,USD2010/TCO2.Capita,,,,0,0,0,0,0.227957859,337.3954476,563.4451118,719.5659537,1278.243837,0,2775.709819,0,4361.082303,0,6457.11394,0,9732.766473,0,11092.5675
AIM/Hub-Global 2.0,COFFEE 1.1,ENGAGE-INDCi2030-1600f,USD2010/TCO2.Capita,,,,0,0,0,0,0,85.01984678,139.4068347,187.2519544,316.3723462,0,925.2615148,0,2270.569371,0,5952.330388,0,12897.34638,0,17510.82143
AIM/Hub-Global 2.0,COFFEE 1.1,ENGAGE-INDCi2030-1800,USD2010/TCO2.Capita,,,,0,0,0,0,0.305159377,183.0262396,302.0882872,420.6719608,744.1545165,0,1960.213143,0,3079.120232,0,4516.80808,0,7543.349891,0,8359.058051
AIM/Hub-Global 2.0,COFFEE 1.1,ENGAGE-INDCi2030-1800f,USD2010/TCO2.Capita,,,,0,0,0,0,0,42.66568612,69.93045658,97.42090473,198.2987025,0,612.8879924,0,1511.035463,0,3845.777812,0,9252.540704,0,13425.818
AIM/Hub-Global 2.0,COFFEE 1.1,ENGAGE-INDCi2030-2000,USD2010/TCO2.Capita,,,,0,0,0,0,0.381449222,27.5064274,39.14613911,120.1794686,207.9629523,0,1143.151215,0,1798.484195,0,2582.499425,0,5366.494109,0,5640.867486
AIM/Hub-Global 2.0,COFFEE 1.1,ENGAGE-INDCi2030-2000f,USD2010/TCO2.Capita,,,,0,0,0,0,0,0.02158619,0.061839796,7.173879138,79.70474185,0,299.9927053,0,752.1919453,0,1744.75361,0,5624.379931,0,9364.997096
AIM/Hub-Global 2.4,COFFEE 1.1,ENGAGE-INDCi2030-2500,USD2010/TCO2.Capita,,,,0,0,0,0,0.377634729,26.96180013,37.99508603,115.5145919,197.9724949,0,1077.901505,0,1679.897123,0,2389.797221,0,4920.398281,0,5124.933458
